"DESCRIPTION_ID","DATE_CREATED","DATE_MODIFIED","UPDT_ID","DESCRIPTION","NAME","TITLE","LANGUAGE_ID","ZONE_ID"
"308","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Salzburg","NULL","1","56"
"309","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Salzburg","NULL","2","56"
"310","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tirol","NULL","1","57"
"311","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tirol","NULL","2","57"
"312","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","South Carolina","NULL","1","58"
"313","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Caroline du Sud","NULL","2","58"
"314","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Thringen","NULL","1","59"
"315","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Thringen","NULL","2","59"
"316","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","South Dakota","NULL","1","60"
"317","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Dakota du Sud","NULL","2","60"
"318","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Basel-Stadt","NULL","1","61"
"319","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Basel-Stadt","NULL","2","61"
"320","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cordoba","NULL","1","62"
"321","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cordoba","NULL","2","62"
"322","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tarragona","NULL","1","63"
"323","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tarragona","NULL","2","63"
"324","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Valladolid","NULL","1","64"
"325","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Valladolid","NULL","2","64"
"326","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","St. Gallen","NULL","1","65"
"327","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","St. Gallen","NULL","2","65"
"328","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Schaffhausen","NULL","1","66"
"329","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Schaffhausen","NULL","2","66"
"330","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Western Australia","NULL","1","67"
"331","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Australie-Occidentale","NULL","2","67"
"332","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Saskatchewan","NULL","1","68"
"333","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Saskatchewan","NULL","2","68"
"334","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Niedersachsen","NULL","1","69"
"335","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Niedersachsen","NULL","2","69"
"336","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Solothurn","NULL","1","70"
"337","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Solothurn","NULL","2","70"
"338","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","California","NULL","1","71"
"339","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Californie","NULL","2","71"
"340","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Northern Territory","NULL","1","72"
"341","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Territoire du Nord","NULL","2","72"
"342","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Steiermark","NULL","1","73"
"343","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Steiermark","NULL","2","73"
"344","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Katen","NULL","1","74"
"345","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Karten","NULL","2","74"
"346","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Jaen","NULL","1","75"
"347","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Jaen","NULL","2","75"
"348","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Ciudad Real","NULL","1","76"
"349","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Ciudad Real","NULL","2","76"
"350","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Schwyz","NULL","1","77"
"351","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Schwyz","NULL","2","77"
"352","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alava","NULL","1","78"
"353","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Alava","NULL","2","78"
"354","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Kansas","NULL","1","79"
"355","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Kansas","NULL","2","79"
"356","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Colorado","NULL","1","80"
"357","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Colorado","NULL","2","80"
"358","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Kentucky","NULL","1","81"
"359","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Kentucky","NULL","2","81"
"360","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Berlin","NULL","1","82"
"361","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Berlin","NULL","2","82"
"362","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Connecticut","NULL","1","83"
"363","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Connecticut","NULL","2","83"
"364","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Australian Capital Territory","NULL","1","84"
"365","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Territoire de la capitale australienne","NULL","2","84"
"366","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Thurgau","NULL","1","85"
"367","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Thurgau","NULL","2","85"
"368","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Louisiana","NULL","1","86"
"369","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Louisiane","NULL","2","86"
"370","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Hamburg","NULL","1","87"
"371","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Hamburg","NULL","2","87"
"372","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tessin","NULL","1","88"
"373","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tessin","NULL","2","88"
"374","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Lugo","NULL","1","89"
"375","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Lugo","NULL","2","89"
"376","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Neuenburg","NULL","1","90"
"377","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Neuenburg","NULL","2","90"
"378","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tennessee","NULL","1","91"
"379","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tennessee","NULL","2","91"
"380","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Toledo","NULL","1","92"
"381","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Toledo","NULL","2","92"
"382","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","District of Columbia","NULL","1","93"
"383","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","District de Columbia","NULL","2","93"
"384","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Palencia","NULL","1","94"
"385","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Palencia","NULL","2","94"
"386","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Delaware","NULL","1","95"
"387","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Delaware","NULL","2","95"
"388","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Texas","NULL","1","96"
"389","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Texas","NULL","2","96"
"390","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tasmania","NULL","1","97"
"391","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Tasmanie","NULL","2","97"
"392","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Queensland","NULL","1","98"
"393","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Queensland","NULL","2","98"
"394","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Luzern","NULL","1","99"
"395","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Luzern","NULL","2","99"
"396","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Burgos","NULL","1","100"
"397","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Burgos","NULL","2","100"
"398","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cadiz","NULL","1","101"
"399","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Cadiz","NULL","2","101"
"400","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Santa Cruz de Tenerife","NULL","1","102"
"401","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Santa Cruz de Tenerife","NULL","2","102"
"402","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Massachusetts","NULL","1","103"
"403","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Massachusetts","NULL","2","103"
"404","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Manitoba","NULL","1","104"
"405","2017-12-14 18:58:29","2017-12-14 18:58:29","NULL","NULL","Manitoba","NULL","2","104"
